componentId	repository	publishedPackageTypes	componentId-docker	additionalDockerImages	componentId-go	componentId-helm	additionalHelmCharts	componentId-ivy	additionalIvyPackages	discussionSlackChannel	botSlackChannel	alertSlackChannel	owningTeam	qlik-releaser	componentId-maven	additionalMavenPackages	componentId-npm	additionalNpmPackages	componentId-nuget	additionalNugetPackages	componentId-jira	production-approval	production-approval/compliance/antivirus	production-approval/compliance/api-governance	production-approval/compliance/dependencies	production-approval/compliance/package-metadata	production-approval/compliance/packages-existence	production-approval/compliance/security	production-approval/compliance/soc2	production-approval/compliance/sre-compliance	production-approval/compliance/sre-compliance-keys-operator	production-approval/compliance/sre-compliance-resource	production-approval/compliance/sre-compliance-resource-contract	production-approval/compliance/sre-compliance-slo	production-approval/compliance/static-compliance	production-approval/compliance/twistlock	production-approval/qmfe-qcs	primaryChampion	briefDescription	npmScope	releaseTrackBranches	domain	grafanaDashboardUrl	playbookUrl	productDeploymentName	hasNoCode	isDeprecated	codeCoverageExclusionReason	errors	warnings	intakeSuites	isJiraComponent
analytics		[]		[]			[]		[]	#analytic-creation	#analytics-qmfe	#analytic-creation	visualizations-properties	false		[]	property-panel	[]		[]	analytics	required	not-applicable	not-applicable	required	not-applicable	required	required	required	required					required	not-applicable	required	veinfors	microfrontends for working with Qlik analytics		[]					false	false		analytics: component has 2 critical and high Dependendabot alerts, 	analytics: component has 2 high Dependendabot alerts, analytics: component is part of QCS, QCG or LEF but the latest release tag (=v0.114.1) is below v1.0.0 which indicates that the version is not ready for production, 	intake	true
analytics-dataflows		[]	analytics-dataflows	[]		analytics-dataflows	[]		[]	#analytics-dataflows	#analytics-dataflows-bot	#analytics-dataflows	cognitive-services	false		[]		[]		[]	analytics-dataflows	required	not-applicable	not-applicable	required	required	required	required	not-applicable	not-applicable					required	required		adamst-q			[]	nlp-cognitive				false	false			analytics-dataflows: Dependabot is not configured for component, 	core,nlp-cognitive	true
angular-leonardo-ui		[]		[]			[]		[]	#frontend-development	#frontend-development-ci	#frontend-development	frontend-core	false		[]	angular-leonardo-ui	[]		[]	angular-leonardo-ui	required	not-applicable	not-applicable	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable					[]					false	false		angular-leonardo-ui: component has 5 critical and high Dependendabot alerts, 	angular-leonardo-ui: component has 2 high Dependendabot alerts, 	core,	true
api-compliance		[]		[]			[]		[]	#ip-management-public	#ip-management-public	#ip-management-public	platform-management	false		[]		[]		[]	api-compliance	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	colssonqlik			[]					false	false				core,	true
api-keys		[]	api-keys	[]		api-keys	[]		[]	#authentication-and-identity-team	#idmgmt_alerts	#idmgmt_alerts	cloud_id_mgmt	false		[]		[]		[]	api-keys	required	not-applicable	required	required	required	required	required	required	required					required	required		EricHaggar			[]	authentication	https://metrics.qlikcloud.io/d/95ZM_EAZk/api-keys-metrics?orgId=1	https://github.com/qlik-trial/api-keys/blob/master/docs/Playbook.md		false	false			api-keys: component is part of QCS or QCG but Used qlikCommonVersion (=3.6.0) does not meet criteria for required version (=3.7.2), api-keys: component is part of QCS or QCG but playbookUrl was last updated more than half a year ago (2023-01-09 15:22:19 +0000 UTC), 	core,authentication	true
api-throttler		[]		[]			[]		[]	#authentication-and-identity-team	#api-throttler-bot	#authentication-and-identity-team	cloud_id_mgmt	false		[]	api-throttler	[]		[]	api-throttler	required	not-applicable	not-applicable	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable		zach-chai			[]					false	false		api-throttler: component has 1 critical and high Dependendabot alerts, 	api-throttler: Dependabot is not configured for component, 	core,	true
apiculturist		[]		[]			[]		[]	#ip-management-public	#ip-management-public	#ip-management-public	platform-management	false		[]		[]		[]	apiculturist	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable				[]					false	false				core,	true
apiculturist-hive		[]	apiculturist-hive	[]		apiculturist-hive	[]		[]	#ip-management-public	#ip-management-public	#ip-management-public	platform-management	false		[]		[]		[]	apiculturist-hive	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	wennmo			[]					false	false				core,	true
apiculturist-honey		[]	apiculturist-honey	[]		apiculturist-honey	[]		[]	#ip-management-public	#ip-management-public	#ip-management-public	platform-management	false		[]		[]		[]	apiculturist-honey	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	colssonqlik			[]					false	false				core,	true
apiculturist-queen		[]	apiculturist-queen	[]		apiculturist-queen	[]		[]	#ip-management-public	#ip-management-public	#ip-management-public	platform-management	false		[]		[]		[]	apiculturist-queen	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	izasyr			[]					false	false				core,	true
apiculturist-server		[]	apiculturist-server	[]		apiculturist-server	[]		[]	#ip-management-public	#ip-management-public	#ip-management-public	platform-management	false		[]		[]		[]	apiculturist-server	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	raulvillora			[]					false	false				core,	true
apiculturist-stinger		[]	apiculturist-stinger	[]		apiculturist-stinger	[]		[]	#ip-management-public	#ip-management-public	#ip-management-public	platform-management	false		[]		[]		[]	apiculturist-stinger	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	wennmo			[]					false	false				core,	true
apiculturist-unleash		[]	apiculturist-unleash	[]		apiculturist-unleash	[]		[]	#ip-management-public	#ip-management-public	#ip-management-public	platform-management	false		[]		[]		[]	apiculturist-unleash	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	joakim-ronning			[]					false	false				core,	true
apiculturist-worker		[]	apiculturist-worker	[]		apiculturist-worker	[]		[]	#ip-management-public	#ip-management-public	#ip-management-public	platform-management	false		[]		[]		[]	apiculturist-worker	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	rosenquist			[]					false	false				core,	true
app-distribution-service		[]		[]			[]	app-distribution-service	[]	#sense_windows_platform_public	#sense_windows_platform_bot	#sense_windows_platform_public	sense-windows-platform	false		[]		[]		[]	app-distribution-service	required	required	required	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable		ysf-ari	Service for distributing apps from QSE to QSEFE and Qlik Cloud Services		[]					false	false			app-distribution-service: Dependabot is not configured for component, 	core,	true
app-evaluator		[]	app-evaluator	[]		app-evaluator	[]		[]	#app-evaluator	#app-evaluator	#app-evaluator	qe-performance-stability	false		[]		[]		[]	app-evaluator	required	not-applicable	required	required	required	required	required	required	required					required	required		HvonP			[]	analytics	https://metrics.qlikcloud.io/d/rQ-OXKnGk/app-evaluator-metrics?orgId=1&refresh=5m	https://github.com/qlik-trial/elastic/blob/master/docs/SRE-Partnerships/app-evaluator/Playbook.md		false	false				core,analytics	true
arbiter		[]	arbiter	[]		arbiter	[]		[]	#sre	#sre_releases	#sre	site-reliability-engineering	false		[]		[]		[]	arbiter	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	irmqlik			[]					false	false				core,	true
argocd-client		[]		[]			[]		[]	#q-gap	#q-gap	#q-gap	platform-engineering	false		[]	argocd-client	[]		[]	argocd-client	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable				[]					false	false			argocd-client: ciChampion (=qliklars) is not a valid Github user in the qlik-trial organization, 	core,	true
assistant-ui		[]		[]			[]		[]	#pm-13890-project-nexus	#assistant-and-insights	#pm-13890-project-nexus	team-nexus	false		[]		[]		[]	assistant-ui	required	not-applicable	not-applicable	required	not-applicable	required	required	required	required					required	not-applicable	required	Qlik-Nick	Home for the assistant client microfrontend		[]					false	false	qmfe		assistant-ui: has no team assigned in Jira, assistant-ui: Dependabot is not configured for component, assistant-ui: component is part of QCS, QCG or LEF but the latest release tag (=v0.7.2) is below v1.0.0 which indicates that the version is not ready for production, 	intake	true
assistants		[]	assistants	[]		assistants	[]		[]	#ai-team-assistant-service	#ai-team-assistant-alerts	#ai-team-assistant-service	tlt	false		[]		[]		[]	assistants	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	henriksvenell			[]	ai	https://metrics.qlikcloud.io/d/PCO5zR4Vz/bg-metrics?orgId=1	https://github.com/qlik-trial/assistants/blob/main/Playbook.md		false	false				core,ai	true
assistants-common		[]		[]			[]		[]	#ai-team-assistant-service	#ai-team-assistant-alerts	#ai-team-assistant-service	analytics-ai-team	false		[]		[]		[]	assistants-common	required	not-applicable	required	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable		henriksvenell			[]	ai				false	false			assistants-common: Dependabot is not configured for component, 	core,ai	true
assistants-executor		[]	assistants-executor	[]		assistants-executor	[]		[]	#ai-team-assistant-service	#ai-team-assistant-alerts	#ai-team-assistant-service	tlt	false		[]		[]		[]	assistants-executor	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	VladimirMordvinov			[]	ai				false	false			assistants-executor: primaryChampion (=VladimirMordvinov) is not a member of owningTeam (=tlt), 	core,ai	true
assistants-worker		[]	assistants-worker	[]		assistants-worker	[]		[]	#ai-team-assistant-service	#ai-team-assistant-alerts	#ai-team-assistant-service	tlt	false		[]		[]		[]	assistants-worker	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	henriksvenell			[]	ai	https://metrics.qlikcloud.io/d/PCO5zR4Vz/bg-metrics?orgId=1	https://github.com/qlik-trial/assistants-worker/blob/main/Playbook.md		false	false				core,ai	true
atlantis		[]	atlantis	[]		atlantis	[]		[]	#sre	#sre_releases	#sre	site-reliability-engineering	false		[]		[]		[]	atlantis	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable	not-applicable					not-applicable	not-applicable	not-applicable	dsmith-qlik			[]	qcs-infra				false	false				core,qcs-infra	true
audit		[]	audit	[]		audit	[]		[]	#cloud-native-admin	#cloud-native-admin-bot	#cloud-native-admin	cloud-native-admin	false		[]		[]		[]	audit	required	not-applicable	required	required	required	required	required	required	required					required	required		qlik-dnj	Service to process and persist audit events produced by the services within Enterprise SaaS		[]	qcs-infra	https://metrics.qlikcloud.io/d/cX2Q32Ni3x2/audit-metrics?orgId=1	https://github.com/qlik-trial/elastic/blob/master/docs/SRE-Partnerships/audit/Playbook.md		false	false			audit: component is part of QCS or QCG but playbookUrl was last updated more than half a year ago (2022-05-31 07:04:25 +0000 UTC), 	core,qcs-infra	true
automation-connections		[]		[]			[]		[]	#automations-releases	#automations-releases	#automations-releases	workflow-automation	false		[]		[]		[]	automation-connections	required	not-applicable	not-applicable	required	not-applicable	required	required	required	required					required	not-applicable	required	phiols	Parcel for displaying automation connections		[]					false	false	qmfe		automation-connections: Dependabot is not configured for component, automation-connections: component is part of QCS, QCG or LEF but the latest release tag (=v0.14.0) is below v1.0.0 which indicates that the version is not ready for production, 	intake	true
automations-connectors		[]		[]			[]		[]	#ip-services-workflows	#ip-services-workflows	#ip-services-workflows	workflow-automation	false		[]		[]		[]	automations-connectors	required	not-applicable	not-applicable	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable		mcq8			[]	automations				false	false			automations-connectors: Dependabot is not configured for component, 	core,automations	true
automations-core		[]	automations-core	[]		automations-core	[]		[]	#ip-services-workflows	#ip-services-workflows	#ip-services-workflows	workflow-automation	false		[]		[]		[]	automations-core	required	not-applicable	required	required	required	required	required	required	required		not-applicable			required	required		mcq8			[]	automations	https://metrics.qlikcloud.io/d/000000991/automations_core-main?orgId=1	https://github.com/qlik-trial/elastic/blob/master/docs/SRE-Partnerships/automations-core/Playbook.md		false	false			automations-core: component is part of QCS or QCG but keys operator is not enabled, , 	core,automations	true
automations-dispatcher		[]	automations-dispatcher	[]		automations-dispatcher	[]		[]	#ip-services-workflows	#ip-services-workflows	#ip-services-workflows	workflow-automation	false		[]		[]		[]	automations-dispatcher	required	not-applicable	not-applicable	required	required	required	required	required	not-applicable					required	required		axelssonHakan	Service for determining which automations job should be executed next by a worker		[]	analytics				false	false		automations-dispatcher: component (deployment: automations-dispatcher) is part of QCS or QCG but no SLO is defined, automations-dispatcher: component is part of QCS or QCG but no grafanaDashboardUrl has been defined, automations-dispatcher: component is part of QCS or QCG but no playbookUrl has been defined, 	automations-dispatcher: component is part of QCS, QCG or LEF but the latest release tag (=v0.0.51) is below v1.0.0 which indicates that the version is not ready for production, 	core,analytics	true
automations-editor		[]		[]			[]		[]	#ip-services-workflows	#ip-services-workflows	#ip-services-workflows	workflow-automation	false		[]		[]		[]	automations-editor	required	not-applicable	not-applicable	required	not-applicable	required	required	required	required					required	not-applicable	required	phiols	Automations Editor QMFE		[]	automations				false	false			automations-editor: Dependabot is not configured for component, 	intake	true
automations-messaging-proxy		[]	automations-messaging-proxy	[]		automations-messaging-proxy	[]		[]	#saas-automations-messaging-proxy	#saas-automations-messaging-proxy	#saas-automations-messaging-proxy	workflow-automation	false		[]		[]		[]	automations-messaging-proxy	required	not-applicable	required	required	required	required	required	required	required					required	required		yeshQ			[]	integrations	https://metrics.qlikcloud.io/d/fQe2PwJVz/automations-messaging-proxy-metric	https://github.com/qlik-trial/elastic/blob/master/docs/SRE-Partnerships/automations-messaging-proxy/Playbook.md		false	false			automations-messaging-proxy: component is part of QCS or QCG but keys operator is not enabled, , automations-messaging-proxy: component is part of QCS or QCG but Used qlikCommonVersion (=3.6.0) does not meet criteria for required version (=3.7.2), automations-messaging-proxy: component is part of QCS or QCG but playbookUrl was last updated more than half a year ago (2023-02-21 08:03:22 +0000 UTC), automations-messaging-proxy: component is part of QCS, QCG or LEF but the latest release tag (=v0.14.0) is below v1.0.0 which indicates that the version is not ready for production, 	core,integrations	true
automations-oauth-proxy		[]	automations-oauth-proxy	[]		automations-oauth-proxy	[]		[]	#ip-services-workflows	#ip-services-workflows	#ip-services-workflows	workflow-automation	false		[]		[]		[]	automations-oauth-proxy	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		mcq8			[]	automations	https://metrics.qlikcloud.io/d/7KvjAPznz/automations_oauth-proxy-metrics?orgId=1&refresh=5m	https://github.com/qlik-trial/elastic/blob/master/docs/SRE-Partnerships/automations-oauth-proxy/Playbook.md		false	false			automations-oauth-proxy: component is part of QCS or QCG but playbookUrl was last updated more than half a year ago (2021-06-22 18:20:40 +0000 UTC), automations-oauth-proxy: Dependabot is not configured for component, automations-oauth-proxy: component is part of QCS, QCG or LEF but the latest release tag (=v0.12.1) is below v1.0.0 which indicates that the version is not ready for production, 	core,automations	true
automations-queue		[]		[]			[]		[]	#ip-services-workflows	#ip-services-workflows	#ip-services-workflows	workflow-automation	false		[]		[]		[]	automations-queue	required	not-applicable	not-applicable	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable		mcq8			[]	automations				false	false			automations-queue: Dependabot is not configured for component, automations-queue: has not been updated to use branches and deployment environments, 	core,automations	true
automations-ui		[]		[]			[]		[]	#ip-services-workflows	#ip-services-workflows	#ip-services-workflows	workflow-automation	false		[]	automations-ui	[]		[]	automations-ui	required	not-applicable	not-applicable	required	not-applicable	required	required	not-applicable	not-applicable					required	not-applicable		phiols			[]	automations				false	false		automations-ui: component has 1 critical and high Dependendabot alerts, 	automations-ui: component has 1 high Dependendabot alerts, automations-ui: Dependabot is not configured for component, 	core,automations	true
automations-websocket		[]	automations-websocket	[]		automations-websocket	[]		[]	#ip-services-workflows	#ip-services-workflows	#ip-services-workflows	workflow-automation	false		[]		[]		[]	automations-websocket	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		mcq8			[]	automations	https://metrics.qlikcloud.io/d/j3bYcwqMz/automations_websocket-metrics?orgId=1	https://github.com/qlik-trial/elastic/blob/master/docs/SRE-Partnerships/automations-websocket/Playbook.md		false	false			automations-websocket: component is part of QCS or QCG but keys operator is not enabled, , automations-websocket: component is part of QCS or QCG but playbookUrl was last updated more than half a year ago (2021-07-22 20:22:56 +0000 UTC), 	core,automations	true
automations-worker		[]	automations-worker	[]		automations-worker	[]		[]	#ip-services-workflows	#ip-services-workflows	#ip-services-workflows	workflow-automation	false		[]		[]		[]	automations-worker	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		mcq8			[]	automations	https://metrics.qlikcloud.io/d/BKpMo59Gz/automations_worker-metrics?orgId=1&refresh=5m	https://github.com/qlik-trial/elastic/blob/master/docs/SRE-Partnerships/automations-worker/Playbook.md		false	false			automations-worker: component is part of QCS or QCG but playbookUrl was last updated more than half a year ago (2022-11-22 15:47:31 +0000 UTC), automations-worker: Dependabot is not configured for component, 	core,automations	true
automl-api		[]	automl-api	[]		automl-api	[]		[]	#automl-services	#automl-services	#automl-oncall	automl-services	false		[]		[]		[]	automl-api	required	not-applicable	required	required	required	required	required	required	required					required	required		Exomemory			[]	machine-learning	https://metrics.qlikcloud.io/d/RSo4PdCnk/automl-aggregated	https://github.com/qlik-trial/automl-api/blob/main/docs/playbook.md		false	false				core,machine-learning	true
automl-conversion-worker		[]	automl-conversion-worker	[]		automl-conversion-worker	[]		[]	#automl-data-science	#automl-data-science	#automl-oncall	automl-data-science	false		[]		[]		[]	automl-conversion-worker	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		yknot			[]	machine-learning	https://metrics.qlikcloud.io/d/RSo4PdCnk/automl-aggregated	https://github.com/qlik-trial/automl-api/blob/main/docs/playbook.md		false	false				core,machine-learning	true
automl-core-api		[]	automl-core-api	[]		automl-core-api	[]		[]	#automl-services	#automl-services	#automl-oncall	automl-services	false		[]		[]		[]	automl-core-api	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		Exomemory			[]	machine-learning	https://metrics.qlikcloud.io/d/RSo4PdCnk/automl-aggregated	https://github.com/qlik-trial/automl-api/blob/main/docs/playbook.md		false	false				core,machine-learning	true
automl-core-consumer		[]	automl-core-consumer	[]		automl-core-consumer	[]		[]	#automl-services	#automl-services	#automl-oncall	automl-services	false		[]		[]		[]	automl-core-consumer	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		Exomemory			[]	machine-learning	https://metrics.qlikcloud.io/d/RSo4PdCnk/automl-aggregated	https://github.com/qlik-trial/automl-api/blob/main/docs/playbook.md		false	false				core,machine-learning	true
automl-datasync-service		[]	automl-datasync-service	[]		automl-datasync-service	[]		[]	#automl-services	#automl-services	#automl-oncall	automl-services	false		[]		[]		[]	automl-datasync-service	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		Exomemory			[]	machine-learning	https://metrics.qlikcloud.io/d/RSo4PdCnk/automl-aggregated?orgId=1	https://github.com/qlik-trial/automl-api/blob/main/docs/playbook.md		false	false				core,machine-learning	true
automl-decision-worker		[]	automl-decision-worker	[]		automl-decision-worker	[]		[]	#automl-data-science	#automl-data-science	#automl-oncall	automl-data-science	false		[]		[]		[]	automl-decision-worker	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		yknot			[]	machine-learning	https://metrics.qlikcloud.io/d/RSo4PdCnk/automl-aggregated	https://github.com/qlik-trial/automl-api/blob/main/docs/playbook.md		false	false				core,machine-learning	true
automl-files-api		[]	automl-files-api	[]		automl-files-api	[]		[]	#automl-services	#automl-services	#automl-oncall	automl-services	false		[]		[]		[]	automl-files-api	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		Exomemory			[]	machine-learning	https://metrics.qlikcloud.io/d/RSo4PdCnk/automl-aggregated	https://github.com/qlik-trial/automl-api/blob/main/docs/playbook.md		false	false				core,machine-learning	true
automl-jobs-api		[]	automl-jobs-api	[]		automl-jobs-api	[]		[]	#automl-services	#automl-services	#automl-oncall	automl-services	false		[]		[]		[]	automl-jobs-api	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		Exomemory			[]	machine-learning	https://metrics.qlikcloud.io/d/RSo4PdCnk/automl-aggregated	https://github.com/qlik-trial/automl-api/blob/main/docs/playbook.md		false	false				core,machine-learning	true
automl-prediction-worker		[]	automl-prediction-worker	[]		automl-prediction-worker	[]		[]	#automl-data-science	#automl-data-science	#automl-oncall	automl-data-science	false		[]		[]		[]	automl-prediction-worker	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		yknot			[]	machine-learning	https://metrics.qlikcloud.io/d/RSo4PdCnk/automl-aggregated	https://github.com/qlik-trial/automl-api/blob/main/docs/playbook.md		false	false				core,machine-learning	true
automl-preprocessing-worker		[]	automl-preprocessing-worker	[]		automl-preprocessing-worker	[]		[]	#automl-data-science	#automl-data-science	#automl-oncall	automl-data-science	false		[]		[]		[]	automl-preprocessing-worker	required	not-applicable	not-applicable	required	required	required	required	required	required					required	required		yknot			[]	machine-learning	https://metrics.qlikcloud.io/d/RSo4PdCnk/automl-aggregated	https://github.com/qlik-trial/automl-api/blob/main/docs/playbook.md		false	false				core,machine-learning	true
automl-realtime-predictions		[]	automl-realtime-predictions	[]		automl-realtime-predictions	[]		[]	#automl-data-science	#automl-data-science	#automl-oncall	automl-data-science	false		[]		[]		[]	automl-realtime-predictions	required	not-applicable	not-applicable	required	required	required	required	not-applicable	not-applicable					required	required		yknot			[]	machine-learning	https://metrics.qlikcloud.io/d/RSo4PdCnk/automl-aggregated	https://github.com/qlik-trial/automl-api/blob/main/docs/playbook.md		false	false				core,machine-learning	true
